feature,skewness,kurtosis
mean_nni,0.8840778740679569,0.7145602461176801
sdnn,0.8682046597616706,2.386063777468598
sdsd,0.3932455846310643,0.5552832420762033
nni_50,-0.7935492470130645,0.6274480562988289
pnni_50,-0.7935492470130644,0.6274480562988294
nni_20,-2.422969060973072,7.425476432883039
pnni_20,-2.4229690609730725,7.425476432883039
rmssd,0.39325931793068436,0.5553038748357766
median_nni,1.0502269431158169,1.3528378302811275
range_nni,1.5224362269990797,8.292073060068217
cvsd,-0.7802444737792441,6.47756264475283
cvnni,0.4505033754777795,4.232993525846298
mean_hr,0.20592611695234114,-0.22805637423140768
max_hr,0.7829843093656842,0.5311534447710184
min_hr,0.8288326167735058,0.7345579234950943
std_hr,0.3754035846586417,2.9748225484995263
lf,11.16392542648777,322.1209619288809
hf,1.3914067995995187,5.56433685011287
lf_hf_ratio,8.911287713843604,259.68757301049084
lfnu,-0.09209623039278199,0.18577765872063434
hfnu,0.09209623039278368,0.18577765872063434
total_power,12.453686880110341,426.1454577151134
vlf,38.936356707248905,3401.982583887618
triangular_index,0.3008554443569085,-0.09840269465983242
sd1,0.39324558463106235,0.5552832420762015
sd2,0.9967405322878388,3.049248579102599
ratio_sd2_sd1,5.656510671656373,65.55499429057167
csi,5.656510671656373,65.55499429057167
cvi,-1.9080771084703212,7.630015780522138
Modified_csi,7.007728851465721,96.49562626966801
sampen,-1.3638793545160572,2.620960264002253
