fold,epoch,train_loss,train_accuracy,train_roc_auc,val_loss,val_accuracy,val_roc_auc,val_sensitivity,val_specificity
2,1,0.21862350310459813,0.9435661397249447,0.9764840987245156,0.22567464424331993,0.9277745053199119,0.9561176093388213,0.8769284200138496,0.9409572073308663
2,2,0.17560271491713839,0.9480295312097734,0.980476058381463,0.2527334135488187,0.9227055141084597,0.9589688197090721,0.9080520866642807,0.9265046614031427
2,3,0.16416912097846031,0.9529599297844974,0.982664879775004,0.2338369741068409,0.9309686761108202,0.9613888267469312,0.906116519452027,0.9374120153293729
2,4,0.15803839889177307,0.9534158372340519,0.9836379244564825,0.23086374672795604,0.9336487973027002,0.9604815497359941,0.8792388180757412,0.9477554986987603
2,5,0.15404915185637044,0.9548068893823204,0.9843731201936133,0.2276980320692347,0.9369711534898039,0.9617212439411764,0.8826292372298095,0.951060208417978
2,6,0.151275319461063,0.9538347458824702,0.9845231348334423,0.22275161221725373,0.9362783419437004,0.961650430387617,0.8730826978503345,0.9526628745868426
2,7,0.14953823893291626,0.9569545670138216,0.9856104885107332,0.23121386357213247,0.9350461925231289,0.9611017262139895,0.8879721651034597,0.9472509251430266
2,8,0.1478693652565854,0.9578415104966113,0.9855474025861045,0.22907200689372342,0.9359940668473761,0.9613143211097614,0.8889166541370102,0.9481996771607717
2,9,0.14649964062418988,0.9582880654714341,0.9858968615289397,0.22923918023041523,0.9352389066221709,0.9621768974789016,0.9032131686336462,0.9435421173421766
2,10,0.1452085025239164,0.9595811735711397,0.9865751706562577,0.22062298645474337,0.935154321700872,0.963318558814523,0.9008222984119455,0.9440554756388154
2,11,0.14431938382656656,0.9578189001181392,0.9863872938835178,0.22567112983542517,0.9353095393915031,0.9614138629791111,0.8837177290756502,0.9486855831420822
2,12,0.1433369772431016,0.9581776857147115,0.9867693445076277,0.23138027878017844,0.9345495831140592,0.9616783480272273,0.8843276233394676,0.9475704700934476
2,13,0.14272120672327995,0.9587212597680689,0.986484772583351,0.23428867858253938,0.935200974209011,0.961813026591752,0.8825614712004964,0.9488486498951322
2,14,0.142094193052178,0.9605278290079851,0.9870149446406838,0.24467384834252245,0.9340446896147593,0.9611018289364229,0.8973979962432207,0.9435459606663226
2,15,0.14135881390940974,0.9591140637067969,0.9869175111492056,0.223371648713906,0.9368425320888595,0.9621789549302712,0.8861869537687442,0.9499758419625112
