,roc_auc,accuracy,sensitivity,specificity,f1_score,training_time
0,0.9632482711581205,0.9046600858659275,0.9113177648040033,0.9024012722271899,0.90683760116284,10379.573012590408


Point estimate metrics:
ROC AUC: 0.9632
Accuracy: 0.9047
Sensitivity: 0.9113
Specificity: 0.9024
F1 Score: 0.9068

95% Confidence Intervals (Lower, Upper):
ROC AUC: (0.9627546422374168, 0.9637740734396382)
Accuracy: (0.9038402500760623, 0.9055268267638011)
Sensitivity: (0.9097317414327087, 0.9129662382742357)
Specificity: (0.9014128678341261, 0.9034069146466632)
F1 Score: (0.905912965100917, 0.9077919680830974)
